"updated","url","name","score","phase","progress","summary","hashtag","contact_url","image_url","source_url","webpage_url","maintainer","event_url","event_name"
22.02.20,"https://db.schoolofdata.ch/project/45","Lost in translation","122","Supporting","50","When misunderstandings lead to fake news",,"https://github.com/manuelroth/lost-in-translation/issues","https://raw.githubusercontent.com/manuelroth/lost-in-translation/master/logo.png","https://github.com/manuelroth/lost-in-translation","http://translationese-detector.surge.sh/","patrickboehler","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/53","Made to measure","84","Launching","30","How to adapt visual stories to different languages",,,,"https://github.com/rushlet/swihack/","https://rushlet.github.io/swihack/","elisabetta","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/58","Multilingual comment comparison","84","Launching","30","In this project we want to explore how comments in different languages on swissinfo.ch differ",,"https://github.com/SamCH93/swihack-comments/issues","https://samch93.github.io/swihack-comments/Analysis/wordcloud.PNG","https://github.com/SamCH93/swihack-comments","https://samch93.github.io/swihack-comments/Analysis/swihack-comments-analysis.html","Samuel","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/54","Gamify Language Learning","82","Launching","30","Ha Hu Amharic Alphabet Learning Game",,"https://github.com/evisat/gamifylanguagelearning/issues","https://us-east-1.linodeobjects.com/dribdat/uploads/upload_cfca712ee367c4666d1d9e13db0b20a7.png","https://github.com/evisat/gamifylanguagelearning","https://evisat.github.io/gamifylanguagelearning/","Nigi","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/40","Multilingual video workflows","50","Researching","0","How to make translating videos easier for journalists with basic video editing skills",,,,"https://github.com/RoxaneBrcly/subtitles","https://md.schoolofdata.ch/USEoupv0Sl29xsuvkN8S8w?view","autoidlabs.ch","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/47","Related Articles","0","Challenge","-1","Recomend similar articles",,"https://github.com/team-data/swissinfo-text/issues","https://avatars3.githubusercontent.com/u/46742590?v=4","https://github.com/team-data/swissinfo-text","https://md.schoolofdata.ch/zGkm02YFT5WX5gaIBReAew?view","hubihack","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/48","Automatic Comment Approval","0","Challenge","-1","To have a conversation/discussion on the website the exchange posts an responses need to appear immediatly",,,,,"https://md.schoolofdata.ch/1nkuu41JTe-EvY2Rt6hodA?view","hubihack","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/50","Topic Analyse (Tool for Journalists)","0","Challenge","-1","Tool to verify if we write about the topics we are supposed to write?",,,,,"https://md.schoolofdata.ch/F0wnZA1rRMmlUgTpzYHeMg?view","hubihack","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/37","Translating Access to Data","0","Challenge","-1","Make a statement about the value of multilingual data!",,,"https://farm7.static.flickr.com/6177/6203671018_eb1073fc82_m.jpg",,"https://md.schoolofdata.ch/-N8IHgEvTXKlJmbklGylgA#","oleg","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/56","Crowdsourcing multilingual campaigns","0","Challenge","-1","How to involve a multilingual community in framing, drafting, localizing, and spreading a political campaign?",,,,,,"tillja","https://db.schoolofdata.ch/event/4","Multilingual Media"
22.02.20,"https://db.schoolofdata.ch/project/57","Managing Volunteers in a multilingual Newsroom","0","Challenge","-1",,,,,,"https://md.schoolofdata.ch/9qbPyd1CRaG9N9l10BDe0g?view","diasporaTV","https://db.schoolofdata.ch/event/4","Multilingual Media"
